Sample in Buffer,Sample in Window,TRIGGER,us_sensor_0_i/after_echo_count_ff[31:0],object_det_OBUF
249,249,0,0005055f,0
250,250,0,00050560,0
251,251,0,00050561,0
252,252,0,00050562,0
253,253,0,00050563,0
254,254,0,00050564,0
255,255,0,00050565,0
256,256,0,00050566,0
257,257,0,00050567,0
258,258,0,00050568,0
259,259,0,00050569,0
260,260,0,0005056a,0
261,261,0,0005056b,0
262,262,0,0005056c,0
263,263,0,0005056d,0
264,264,0,0005056e,0
265,265,0,0005056f,0
266,266,0,00050570,0
267,267,0,00050571,0
268,268,0,00050572,0
269,269,0,00050573,0
270,270,0,00050574,0
271,271,0,00050575,0
272,272,0,00050576,0
273,273,0,00050577,0
274,274,0,00050578,0
275,275,0,00050579,0
276,276,0,0005057a,0
277,277,0,0005057b,0
278,278,0,0005057c,0
279,279,0,0005057d,0
280,280,0,0005057e,0
281,281,0,0005057f,0
282,282,0,00050580,0
283,283,0,00050581,0
284,284,0,00050582,0
285,285,0,00050583,0
286,286,0,00050584,0
287,287,0,00050585,0
288,288,0,00050586,0
289,289,0,00050587,0
290,290,0,00050588,0
291,291,0,00050589,0
292,292,0,0005058a,0
293,293,0,0005058b,0
294,294,0,0005058c,0
295,295,0,0005058d,0
296,296,0,0005058e,0
297,297,0,0005058f,0
298,298,0,00050590,0
299,299,0,00050591,0
300,300,0,00050592,0
301,301,0,00050593,0
302,302,0,00050594,0
303,303,0,00050595,0
304,304,0,00050596,0
305,305,0,00050597,0
306,306,0,00050598,0
307,307,0,00050599,0
308,308,0,0005059a,0
309,309,0,0005059b,0
310,310,0,0005059c,0
311,311,0,0005059d,0
312,312,0,0005059e,0
313,313,0,0005059f,0
314,314,0,000505a0,0
315,315,0,000505a1,0
316,316,0,000505a2,0
317,317,0,000505a3,0
318,318,0,000505a4,0
319,319,0,000505a5,0
320,320,0,000505a6,0
321,321,0,000505a7,0
322,322,0,000505a8,0
323,323,0,000505a9,0
324,324,0,000505aa,0
325,325,0,000505ab,0
326,326,0,000505ac,0
327,327,0,000505ad,0
328,328,0,000505ae,0
